TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille;;;;;;;;;;;
71342730;71342813;71346058;71637053;71721000;287;0;14;7;125;4_5;179;;257;25443;25,443;0,42405;;;;;;
71787704;71787784;71791018;72082045;72166082;287;0;14;7;125;4_5;180;;257;25443;25,443;0,42405;;;;;;
72232764;72232848;72236085;72533052;72617013;293;0;14;7;125;4_5;181;;262;25938;25,938;0,4323;;;;;;
72687216;72687294;72690574;72986056;73070131;293;0;14;7;125;4_5;182;;262;25938;25,938;0,4323;;;;;;
73136827;73136916;73140142;73437053;73520994;293;0;14;7;125;4_5;183;;262;25938;25,938;0,4323;;;;;;
73587639;73587720;73590953;73892060;73976076;298;0;14;7;125;4_5;184;;267;26433;26,433;0,44055;;;;;;
74042752;74042840;74046073;74347064;74431033;298;0;14;7;125;4_5;185;;267;26433;26,433;0,44055;;;;;;
74497644;74497724;74500963;74802064;74886113;298;0;14;7;125;4_5;186;;267;26433;26,433;0,44055;;;;;;
74952808;74952898;74956129;75257063;75341018;298;0;14;7;125;4_5;187;;267;26433;26,433;0,44055;;;;;;
75407693;75407773;75411008;75718050;75802068;303;0;14;7;125;4_5;188;;272;26928;26,928;0,4488;;;;;;
75868737;75868821;75872060;76179052;76263000;303;0;14;7;125;4_5;189;;272;26928;26,928;0,4488;;;;;;
76333170;76333249;76336532;76642053;76726082;303;0;14;7;125;4_5;190;;272;26928;26,928;0,4488;;;;;;
76792815;76792904;76796133;77109052;77192989;308;0;14;7;125;4_5;191;;277;27423;27,423;0,45705;;;;;;
77259623;77259703;77262943;77576051;77660082;308;0;14;7;125;4_5;192;;277;27423;27,423;0,45705;;;;;;
77726768;77726852;77730100;78043053;78127033;308;0;14;7;125;4_5;193;;277;27423;27,423;0,45705;;;;;;
78193663;78193744;78196980;78510045;78594078;308;0;14;7;125;4_5;194;;277;27423;27,423;0,45705;;;;;;
78660753;78660835;78664087;78981052;79065016;313;0;14;7;125;4_5;195;;282;27918;27,918;0,4653;;;;;;
79131675;79131760;79134993;79452050;79536054;313;0;14;7;125;4_5;196;;282;27918;27,918;0,4653;;;;;;
79606357;79606436;79609725;79925055;80009007;313;0;14;7;125;4_5;197;;282;27918;27,918;0,4653;;;;;;
80075757;80075841;80079094;80402054;80486095;318;0;14;7;125;4_5;198;;287;28413;28,413;0,47355;;;;;;
80552786;80552878;80556113;80879053;80962994;318;0;14;7;125;4_5;199;;287;28413;28,413;0,47355;;;;;;
81029635;81029716;81032950;81356051;81440078;318;0;14;7;125;4_5;200;;287;28413;28,413;0,47355;;;;;;
81506763;81506846;81510081;81833047;81917013;318;0;14;7;125;4_5;201;;287;28413;28,413;0,47355;;;;;;
81983635;81983715;81986963;82314050;82398085;323;0;14;7;125;4_5;202;;293;29007;29,007;0,48345;;;;;;
82464769;82464852;82468105;82795052;82879018;323;0;14;7;125;4_5;203;;293;29007;29,007;0,48345;;;;;;
82945661;82945742;82948987;83276051;83360080;323;0;14;7;125;4_5;204;;293;29007;29,007;0,48345;;;;;;
83430361;83430439;83433740;83765054;83849007;328;0;14;7;125;4_5;205;;298;29502;29,502;0,4917;;;;;;
83915646;83915731;83918980;84252051;84336072;328;0;14;7;125;4_5;206;;298;29502;29,502;0,4917;;;;;;
84402795;84402886;84406120;84739053;84822989;328;0;14;7;125;4_5;207;;298;29502;29,502;0,4917;;;;;;
84889650;84889730;84892985;85226045;85310066;328;0;14;7;125;4_5;208;;298;29502;29,502;0,4917;;;;;;
85376787;85376880;85380121;85717056;85801016;334;0;14;7;125;4_5;209;;303;29997;29,997;0,49995;;;;;;
85867646;85867726;85870969;86208050;86292076;334;0;14;7;125;4_5;210;;303;29997;29,997;0,49995;;;;;;
86358751;86358833;86362087;86699053;86783000;334;0;14;7;125;4_5;211;;303;29997;29,997;0,49995;;;;;;
86853251;86853333;86856638;87198052;87282068;339;0;14;7;125;4_5;212;;308;30492;30,492;0,5082;;;;;;
87348730;87348815;87352073;87695053;87779035;339;0;14;7;125;4_5;213;;308;30492;30,492;0,5082;;;;;;
87845683;87845764;87849028;88192055;88276062;339;0;14;7;125;4_5;214;;308;30492;30,492;0,5082;;;;;;
88342761;88342845;88346100;88689047;88772993;339;0;14;7;125;4_5;215;;308;30492;30,492;0,5082;;;;;;
88839624;88839705;88842957;89192050;89276052;344;0;14;7;125;4_5;216;;313;30987;30,987;0,51645;;;;;;
89342739;89342823;89346077;89695052;89779020;344;0;14;7;125;4_5;217;;313;30987;30,987;0,51645;;;;;;
89845632;89845712;89848965;90198051;90282072;344;0;14;7;125;4_5;218;;313;30987;30,987;0,51645;;;;;;
90348797;90348888;90352133;90705052;90789022;349;0;14;7;125;4_5;219;;318;31482;31,482;0,5247;;;;;;
90859253;90859332;90862640;91214053;91298076;349;0;14;7;125;4_5;220;;318;31482;31,482;0,5247;;;;;;
91364755;91364837;91368098;91721053;91805000;349;0;14;7;125;4_5;221;;318;31482;31,482;0,5247;;;;;;
91871644;91871729;91874987;92228045;92312101;349;0;14;7;125;4_5;222;;318;31482;31,482;0,5247;;;;;;
3968928;3969006;3969194;3969278;4053410;0;0;14;0;250;4_5;0;;323;31977;31,977;0,53295;;;;;;
4120081;4120161;4120425;4137058;4220908;13;0;14;7;250;4_5;1;;323;31977;31,977;0,53295;;;;;;
4287456;4287536;4290642;4310055;4393937;16;0;14;7;250;4_5;2;;323;31977;31,977;0,53295;;;;;;
4460537;4460618;4463733;4483058;4566892;16;0;14;7;250;4_5;3;;328;32472;32,472;0,5412;;;;;;
4633460;4633540;4636649;4656056;4737506;16;0;14;7;250;4_5;4;;328;32472;32,472;0,5412;;;;;;
4801734;4801817;4804948;4824052;4907880;16;0;14;7;250;4_5;5;;328;32472;32,472;0,5412;;;;;;
4974452;4974533;4977648;5001059;5084985;19;0;14;7;250;4_5;6;;328;32472;32,472;0,5412;;;;;;
5155353;5155431;5158616;5180059;5263886;19;0;14;7;250;4_5;7;;334;33066;33,066;0,5511;;;;;;
5330420;5330501;5333611;5357056;5440948;19;0;14;7;250;4_5;8;;334;33066;33,066;0,5511;;;;;;
5507556;5507636;5510751;5536057;5619912;21;0;14;7;250;4_5;9;;334;33066;33,066;0,5511;;;;;;
5686504;5686585;5689697;5715056;5799052;21;0;14;7;250;4_5;10;;339;33561;33,561;0,55935;;;;;;
5865732;5865815;5868954;5894058;5977960;21;0;14;7;250;4_5;11;;339;33561;33,561;0,55935;;;;;;
6044663;6044744;6047873;6073050;6157019;21;0;14;7;250;4_5;12;;339;33561;33,561;0,55935;;;;;;
6223698;6223778;6226906;6254057;6337962;24;0;14;7;250;4_5;13;;339;33561;33,561;0,55935;;;;;;
6404581;6404669;6407781;6435055;6518985;24;0;14;7;250;4_5;14;;344;34056;34,056;0,5676;;;;;;
6585702;6585787;6588940;6616058;6700000;24;0;14;7;250;4_5;15;;344;34056;34,056;0,5676;;;;;;
6770303;6770382;6773565;6805057;6889067;26;0;14;7;250;4_5;16;;344;34056;34,056;0,5676;;;;;;
6955742;6955825;6958970;6990058;7074029;26;0;14;7;250;4_5;17;;349;34551;34,551;0,57585;;;;;;
7140667;7140748;7143884;7175056;7259035;26;0;14;7;250;4_5;18;;349;34551;34,551;0,57585;;;;;;
7325717;7325802;7328950;7360052;7443950;26;0;14;7;250;4_5;19;;349;34551;34,551;0,57585;;;;;;
7510588;7510672;7513808;7547055;7631044;29;0;14;7;250;4_5;20;;349;34551;34,551;0,57585;;;;;;
7697768;7697853;7700989;7734057;7817950;29;0;14;7;250;4_5;21;;0;0;0;0;;;;;;
7884597;7884681;7887812;7921056;8005044;29;0;14;7;250;4_5;22;;13;1287;1,287;0,02145;;;;;;
8071787;8071935;8075111;8110057;8193993;31;0;14;7;250;4_5;23;;16;1584;1,584;0,0264;;;;;;
8264345;8264423;8267618;8303058;8387033;31;0;14;7;250;4_5;24;;16;1584;1,584;0,0264;;;;;;
8453695;8453775;8456918;8492058;8575967;31;0;14;7;250;4_5;25;;16;1584;1,584;0,0264;;;;;;
8642597;8642678;8645812;8681050;8765003;31;0;14;7;250;4_5;26;;16;1584;1,584;0,0264;;;;;;
8831728;8831817;8834964;8872057;8955960;34;0;14;7;250;4_5;27;;19;1881;1,881;0,03135;;;;;;
9022583;9022664;9025799;9063055;9147149;34;0;14;7;250;4_5;28;;19;1881;1,881;0,03135;;;;;;
9213856;9213947;9217088;9254058;9337994;34;0;14;7;250;4_5;29;;19;1881;1,881;0,03135;;;;;;
9404621;9404702;9407837;9449055;9533030;36;0;14;7;250;4_5;30;;21;2079;2,079;0,03465;;;;;;
9599722;9599806;9602956;9644058;9727937;36;0;14;7;250;4_5;31;;21;2079;2,079;0,03465;;;;;;
9794570;9794650;9797783;9839056;9923020;36;0;14;7;250;4_5;32;;21;2079;2,079;0,03465;;;;;;
9993404;9993482;9996680;10036054;10120044;36;0;14;7;250;4_5;33;;21;2079;2,079;0,03465;;;;;;
10186681;10186762;10189913;10233055;10317059;39;0;14;7;250;4_5;34;;24;2376;2,376;0,0396;;;;;;
10383754;10383835;10387000;10430057;10513978;39;0;14;7;250;4_5;35;;24;2376;2,376;0,0396;;;;;;
10580648;10580728;10583877;10627055;10711042;39;0;14;7;250;4_5;36;;24;2376;2,376;0,0396;;;;;;
10777729;10777813;10780962;10826057;10909970;42;0;14;7;250;4_5;37;;26;2574;2,574;0,0429;;;;;;
10976608;10976692;10979834;11025056;11109125;42;0;14;7;250;4_5;38;;26;2574;2,574;0,0429;;;;;;
11175831;11175921;11179065;11224058;11307983;42;0;14;7;250;4_5;39;;26;2574;2,574;0,0429;;;;;;
11374618;11374699;11377846;11423050;11507057;42;0;14;7;250;4_5;40;;26;2574;2,574;0,0429;;;;;;
11577456;11577534;11580755;11628063;11711978;44;0;14;7;250;4_5;41;;29;2871;2,871;0,04785;;;;;;
11778609;11778694;11781830;11831055;11915038;44;0;14;7;250;4_5;42;;29;2871;2,871;0,04785;;;;;;
11981693;11981773;11984933;12034058;12118076;44;0;14;7;250;4_5;43;;29;2871;2,871;0,04785;;;;;;
12184748;12184831;12187999;12239055;12323020;47;0;14;7;250;4_5;44;;31;3069;3,069;0,05115;;;;;;
12389735;12389819;12392970;12444058;12528003;47;0;14;7;250;4_5;45;;31;3069;3,069;0,05115;;;;;;
12594650;12594731;12597886;12649056;12733069;47;0;14;7;250;4_5;46;;31;3069;3,069;0,05115;;;;;;
12799770;12799853;12803006;12854052;12937975;47;0;14;7;250;4_5;47;;31;3069;3,069;0,05115;;;;;;
13008270;13008349;13011548;13063057;13147124;49;0;14;7;250;4_5;48;;34;3366;3,366;0,0561;;;;;;
13213822;13213915;13217062;13270057;13353983;49;0;14;7;250;4_5;49;;34;3366;3,366;0,0561;;;;;;
13420664;13420744;13423898;13477056;13561021;49;0;14;7;250;4_5;50;;34;3366;3,366;0,0561;;;;;;
13627711;13627792;13630960;13686057;13769989;52;0;14;7;250;4_5;51;;36;3564;3,564;0,0594;;;;;;
13836651;13836731;13839898;13895060;13979044;52;0;14;7;250;4_5;52;;36;3564;3,564;0,0594;;;;;;
14045731;14045815;14048972;14104058;14187989;52;0;14;7;250;4_5;53;;36;3564;3,564;0,0594;;;;;;
14254618;14254701;14257851;14313050;14397038;52;0;14;7;250;4_5;54;;36;3564;3,564;0,0594;;;;;;
14463710;14463791;14466950;14526057;14610003;54;0;14;7;250;4_5;55;;39;3861;3,861;0,06435;;;;;;
14680292;14680370;14683577;14743057;14827033;54;0;14;7;250;4_5;56;;39;3861;3,861;0,06435;;;;;;
14893756;14893840;14897006;14956057;15039980;54;0;14;7;250;4_5;57;;39;3861;3,861;0,06435;;;;;;
15106777;15106861;15110017;15171055;15255021;57;0;14;7;250;4_5;58;;42;4158;4,158;0,0693;;;;;;
15321713;15321793;15324957;15386058;15469975;57;0;14;7;250;4_5;59;;42;4158;4,158;0,0693;;;;;;
15536646;15536726;15539888;15601055;15685034;57;0;14;7;250;4_5;60;;42;4158;4,158;0,0693;;;;;;
15751740;15751827;15754987;15816052;15899973;57;0;14;7;250;4_5;61;;42;4158;4,158;0,0693;;;;;;
15966607;15966698;15969849;16033055;16117083;60;0;14;7;250;4_5;62;;44;4356;4,356;0,0726;;;;;;
16183791;16183885;16187048;16250057;16334008;60;0;14;7;250;4_5;63;;44;4356;4,356;0,0726;;;;;;
16404244;16404322;16407536;16469058;16553052;60;0;14;7;250;4_5;64;;44;4356;4,356;0,0726;;;;;;
16619721;16619805;16622970;16690057;16773942;62;0;14;7;250;4_5;65;;47;4653;4,653;0,07755;;;;;;
16840584;16840665;16843824;16911056;16995087;62;0;14;7;250;4_5;66;;47;4653;4,653;0,07755;;;;;;
17061745;17061827;17064992;17132058;17215970;62;0;14;7;250;4_5;67;;47;4653;4,653;0,07755;;;;;;
17282644;17282724;17285902;17353050;17437074;62;0;14;7;250;4_5;68;;47;4653;4,653;0,07755;;;;;;
17503781;17503874;17507035;17576057;17659966;65;0;14;7;250;4_5;69;;49;4851;4,851;0,08085;;;;;;
17726615;17726703;17729861;17799055;17883048;65;0;14;7;250;4_5;70;;49;4851;4,851;0,08085;;;;;;
17949737;17949821;17952987;18022058;18106029;65;0;14;7;250;4_5;71;;49;4851;4,851;0,08085;;;;;;
18176310;18176392;18179621;18249057;18333065;67;0;14;7;250;4_5;72;;52;5148;5,148;0,0858;;;;;;
18399735;18399819;18402989;18474058;18557975;67;0;14;7;250;4_5;73;;52;5148;5,148;0,0858;;;;;;
18624669;18624749;18627924;18699056;18783052;67;0;14;7;250;4_5;74;;52;5148;5,148;0,0858;;;;;;
18849750;18849833;18853008;18924052;19007978;67;0;14;7;250;4_5;75;;52;5148;5,148;0,0858;;;;;;
19074680;19074761;19077940;19151055;19235003;70;0;14;7;250;4_5;76;;54;5346;5,346;0,0891;;;;;;
19301692;19301773;19304952;19378057;19461970;70;0;14;7;250;4_5;77;;54;5346;5,346;0,0891;;;;;;
19528664;19528744;19531908;19605055;19689038;70;0;14;7;250;4_5;78;;54;5346;5,346;0,0891;;;;;;
19759290;19759368;19762601;19838059;19921999;72;0;14;7;250;4_5;79;;57;5643;5,643;0,09405;;;;;;
19988655;19988739;19991918;20069056;20153156;72;0;14;7;250;4_5;80;;57;5643;5,643;0,09405;;;;;;
20219856;20219947;20223111;20300058;20383980;72;0;14;7;250;4_5;81;;57;5643;5,643;0,09405;;;;;;
20450622;20450702;20453875;20531050;20615067;72;0;14;7;250;4_5;82;;57;5643;5,643;0,09405;;;;;;
20681767;20681854;20685035;20764057;20847992;75;0;14;7;250;4_5;83;;60;5940;5,94;0,099;;;;;;
20914653;20914734;20917910;20997055;21081124;75;0;14;7;250;4_5;84;;60;5940;5,94;0,099;;;;;;
21147841;21147930;21151107;21230058;21313970;75;0;14;7;250;4_5;85;;60;5940;5,94;0,099;;;;;;
21380665;21380745;21383918;21465059;21549046;77;0;14;7;250;4_5;86;;62;6138;6,138;0,1023;;;;;;
21619455;21619533;21622769;21702060;21785975;77;0;14;7;250;4_5;87;;62;6138;6,138;0,1023;;;;;;
21852598;21852678;21855844;21937055;22021065;77;0;14;7;250;4_5;88;;62;6138;6,138;0,1023;;;;;;
22087882;22087962;22091128;22172052;22255956;77;0;14;7;250;4_5;89;;62;6138;6,138;0,1023;;;;;;
22322617;22322697;22325859;22411059;22495067;80;0;14;7;250;4_5;90;;65;6435;6,435;0,10725;;;;;;
22561763;22561847;22565033;22650061;22734008;80;0;14;7;250;4_5;91;;65;6435;6,435;0,10725;;;;;;
22800676;22800756;22803935;22889055;22973044;80;0;14;7;250;4_5;92;;65;6435;6,435;0,10725;;;;;;
23039739;23039823;23043006;23130057;23213992;83;0;14;7;250;4_5;93;;67;6633;6,633;0,11055;;;;;;
23280646;23280730;23283913;23371056;23455077;83;0;14;7;250;4_5;94;;67;6633;6,633;0,11055;;;;;;
23525452;23525530;23528767;23614060;23697996;83;0;14;7;250;4_5;95;;67;6633;6,633;0,11055;;;;;;
23764618;23764699;23767886;23855050;23939055;83;0;14;7;250;4_5;96;;67;6633;6,633;0,11055;;;;;;
24005786;24005878;24009057;24098057;24181970;85;0;14;7;250;4_5;97;;70;6930;6,93;0,1155;;;;;;
24248626;24248707;24251886;24341055;24425052;85;0;14;7;250;4_5;98;;70;6930;6,93;0,1155;;;;;;
24491736;24491819;24495011;24584058;24667981;85;0;14;7;250;4_5;99;;70;6930;6,93;0,1155;;;;;;
24734632;24734712;24737904;24829055;24913052;88;0;14;7;250;4_5;100;;72;7128;7,128;0,1188;;;;;;
24979743;24979825;24983015;25074058;25158008;88;0;14;7;250;4_5;101;;72;7128;7,128;0,1188;;;;;;
25224665;25224745;25227933;25319056;25403085;88;0;14;7;250;4_5;102;;72;7128;7,128;0,1188;;;;;;
25473479;25473558;25476806;25566054;25650003;88;0;14;7;250;4_5;103;;72;7128;7,128;0,1188;;;;;;
25716635;25716715;25719900;25815055;25899074;90;0;14;7;250;4_5;104;;75;7425;7,425;0,12375;;;;;;
25965749;25965838;25969039;26064057;26148071;90;0;14;7;250;4_5;105;;75;7425;7,425;0,12375;;;;;;
26214716;26214800;26217979;26313056;26397073;90;0;14;7;250;4_5;106;;75;7425;7,425;0,12375;;;;;;
26463737;26463821;26467023;26564057;26648016;93;0;14;7;250;4_5;107;;77;7623;7,623;0,12705;;;;;;
26714699;26714779;26717966;26815056;26899055;93;0;14;7;250;4_5;108;;77;7623;7,623;0,12705;;;;;;
26965747;26965829;26969019;27066058;27150067;93;0;14;7;250;4_5;109;;77;7623;7,623;0,12705;;;;;;
27220422;27220500;27223751;27319052;27403065;93;0;14;7;250;4_5;110;;77;7623;7,623;0,12705;;;;;;
27469716;27469800;27472990;27572057;27655996;95;0;14;7;250;4_5;111;;80;7920;7,92;0,132;;;;;;
27722635;27722715;27725906;27825055;27909069;95;0;14;7;250;4_5;112;;80;7920;7,92;0,132;;;;;;
27975770;27975855;27979062;28078057;28162008;95;0;14;7;250;4_5;113;;80;7920;7,92;0,132;;;;;;
28228694;28228774;28231968;28333075;28417092;98;0;14;7;250;4_5;114;;83;8217;8,217;0,13695;;;;;;
28483765;28483848;28487045;28590057;28673996;98;0;14;7;250;4_5;115;;83;8217;8,217;0,13695;;;;;;
28740662;28740747;28743954;28847055;28931111;98;0;14;7;250;4_5;116;;83;8217;8,217;0,13695;;;;;;
28997829;28997919;29001101;29104052;29188005;98;0;14;7;250;4_5;117;;83;8217;8,217;0,13695;;;;;;
29258258;29258336;29261587;29367057;29451090;100;0;14;7;250;4_5;118;;85;8415;8,415;0,14025;;;;;;
29517815;29517905;29521090;29626057;29710008;100;0;14;7;250;4_5;119;;85;8415;8,415;0,14025;;;;;;
29776647;29776727;29779913;29885055;29969079;100;0;14;7;250;4_5;120;;85;8415;8,415;0,14025;;;;;;
30035768;30035850;30039048;30146057;30230025;103;0;14;7;250;4_5;121;;88;8712;8,712;0,1452;;;;;;
30296692;30296772;30299962;30407055;30491092;103;0;14;7;250;4_5;122;;88;8712;8,712;0,1452;;;;;;
30557763;30557848;30561043;30668057;30752018;103;0;14;7;250;4_5;123;;88;8712;8,712;0,1452;;;;;;
30818705;30818785;30821990;30929054;31013102;103;0;14;7;250;4_5;124;;88;8712;8,712;0,1452;;;;;;
31086428;31086504;31089875;31197059;31281005;106;0;14;7;250;4_5;125;;90;8910;8,91;0,1485;;;;;;
31347642;31347722;31350916;31460055;31544092;106;0;14;7;250;4_5;126;;90;8910;8,91;0,1485;;;;;;
31610780;31610877;31614067;31723057;31807048;106;0;14;7;250;4_5;127;;90;8910;8,91;0,1485;;;;;;
31873672;31873752;31876952;31990055;32074149;108;0;14;7;250;4_5;128;;93;9207;9,207;0,15345;;;;;;
32140839;32140928;32144127;32257057;32341007;108;0;14;7;250;4_5;129;;93;9207;9,207;0,15345;;;;;;
32407699;32407779;32410974;32524055;32608074;108;0;14;7;250;4_5;130;;93;9207;9,207;0,15345;;;;;;
32674770;32674853;32678054;32791052;32875001;108;0;14;7;250;4_5;131;;93;9207;9,207;0,15345;;;;;;
32941657;32941737;32944946;33060055;33144149;111;0;14;7;250;4_5;132;;95;9405;9,405;0,15675;;;;;;
33214554;33214633;33217908;33331059;33415016;111;0;14;7;250;4_5;133;;95;9405;9,405;0,15675;;;;;;
33481688;33481769;33484976;33600055;33684102;111;0;14;7;250;4_5;134;;95;9405;9,405;0,15675;;;;;;
33750806;33750895;33754097;33871061;33955032;113;0;14;7;250;4_5;135;;98;9702;9,702;0,1617;;;;;;
34021694;34021775;34024983;34142055;34226090;113;0;14;7;250;4_5;136;;98;9702;9,702;0,1617;;;;;;
34292764;34292848;34296057;34413058;34497011;113;0;14;7;250;4_5;137;;98;9702;9,702;0,1617;;;;;;
34563667;34563751;34566960;34684050;34768100;113;0;14;7;250;4_5;138;;98;9702;9,702;0,1617;;;;;;
34834788;34834883;34838080;34957066;35041022;116;0;14;7;250;4_5;139;;100;9900;9,9;0,165;;;;;;
35111512;35111590;35114873;35234057;35318124;116;0;14;7;250;4_5;140;;100;9900;9,9;0,165;;;;;;
35384837;35384926;35388128;35507070;35591023;116;0;14;7;250;4_5;141;;100;9900;9,9;0,165;;;;;;
35657662;35657743;35660950;35784055;35868059;118;0;14;7;250;4_5;142;;103;10197;10,197;0,16995;;;;;;
35934741;35934825;35938031;36061057;36145077;118;0;14;7;250;4_5;143;;103;10197;10,197;0,16995;;;;;;
36211756;36211840;36215045;36338055;36422065;118;0;14;7;250;4_5;144;;103;10197;10,197;0,16995;;;;;;
36488781;36488874;36492080;36615052;36699012;118;0;14;7;250;4_5;145;;103;10197;10,197;0,16995;;;;;;
36765664;36765744;36768957;36894059;36978069;121;0;14;7;250;4_5;146;;106;10494;10,494;0,1749;;;;;;
37044758;37044843;37048052;37173057;37257008;121;0;14;7;250;4_5;147;;106;10494;10,494;0,1749;;;;;;
37327359;37327437;37330709;37456058;37540069;121;0;14;7;250;4_5;148;;106;10494;10,494;0,1749;;;;;;
37606810;37606903;37610110;37737057;37821022;124;0;14;7;250;4_5;149;;108;10692;10,692;0,1782;;;;;;
37887660;37887740;37890952;38018055;38102141;124;0;14;7;250;4_5;150;;108;10692;10,692;0,1782;;;;;;
38168875;38168955;38172172;38299058;38383047;124;0;14;7;250;4_5;151;;108;10692;10,692;0,1782;;;;;;
38449688;38449768;38452979;38580050;38664074;124;0;14;7;250;4_5;152;;108;10692;10,692;0,1782;;;;;;
38730760;38730843;38734059;38865057;38949016;126;0;14;7;250;4_5;153;;111;10989;10,989;0,18315;;;;;;
39015663;39015744;39018960;39150055;39234098;126;0;14;7;250;4_5;154;;111;10989;10,989;0,18315;;;;;;
39300815;39300905;39304107;39435058;39519016;126;0;14;7;250;4_5;155;;111;10989;10,989;0,18315;;;;;;
39589323;39589402;39592678;39724057;39808083;129;0;14;7;250;4_5;156;;113;11187;11,187;0,18645;;;;;;
39874767;39874850;39878067;40011062;40095100;129;0;14;7;250;4_5;157;;113;11187;11,187;0,18645;;;;;;
40161735;40161819;40165035;40298056;40382071;129;0;14;7;250;4_5;158;;113;11187;11,187;0,18645;;;;;;
40448759;40448843;40452059;40585052;40669014;129;0;14;7;250;4_5;159;;113;11187;11,187;0,18645;;;;;;
40735696;40735780;40739006;40874055;40958067;131;0;14;7;250;4_5;160;;116;11484;11,484;0,1914;;;;;;
41024747;41024829;41028050;41163057;41247029;131;0;14;7;250;4_5;161;;116;11484;11,484;0,1914;;;;;;
41313711;41313791;41317023;41452058;41536087;131;0;14;7;250;4_5;162;;116;11484;11,484;0,1914;;;;;;
41606374;41606452;41609728;41745059;41829008;134;0;14;7;250;4_5;163;;118;11682;11,682;0,1947;;;;;;
41895657;41895737;41898966;42036056;42120113;134;0;14;7;250;4_5;164;;118;11682;11,682;0,1947;;;;;;
42186837;42186926;42190139;42327057;42411012;134;0;14;7;250;4_5;165;;118;11682;11,682;0,1947;;;;;;
42477632;42477713;42480960;42618050;42702085;134;0;14;7;250;4_5;166;;118;11682;11,682;0,1947;;;;;;
42768793;42768889;42772111;42913057;42997050;136;0;14;7;250;4_5;167;;121;11979;11,979;0,19965;;;;;;
43063675;43063755;43066979;43208055;43292087;136;0;14;7;250;4_5;168;;121;11979;11,979;0,19965;;;;;;
43358778;43358861;43362088;43503057;43587014;136;0;14;7;250;4_5;169;;121;11979;11,979;0,19965;;;;;;
43653650;43653734;43656960;43800055;43884102;139;0;14;7;250;4_5;170;;124;12276;12,276;0,2046;;;;;;
43954572;43954650;43957937;44100060;44184035;139;0;14;7;250;4_5;171;;124;12276;12,276;0,2046;;;;;;
44250681;44250761;44254004;44397056;44481096;139;0;14;7;250;4_5;172;;124;12276;12,276;0,2046;;;;;;
44547813;44547903;44551120;44694052;44778012;139;0;14;7;250;4_5;173;;124;12276;12,276;0,2046;;;;;;
44844663;44844744;44847968;44993055;45077131;141;0;14;7;250;4_5;174;;126;12474;12,474;0,2079;;;;;;
45143829;45143919;45147144;45292057;45376025;141;0;14;7;250;4_5;175;;126;12474;12,474;0,2079;;;;;;
45442645;45442725;45445955;45591056;45675063;141;0;14;7;250;4_5;176;;126;12474;12,474;0,2079;;;;;;
45741766;45741850;45745078;45894057;45978008;144;0;14;7;250;4_5;177;;129;12771;12,771;0,21285;;;;;;
46048310;46048388;46051681;46199062;46283092;144;0;14;7;250;4_5;178;;129;12771;12,771;0,21285;;;;;;
46349797;46349887;46353111;46502058;46586012;144;0;14;7;250;4_5;179;;129;12771;12,771;0,21285;;;;;;
46652662;46652742;46655966;46805050;46889075;144;0;14;7;250;4_5;180;;129;12771;12,771;0,21285;;;;;;
46955759;46955847;46959076;47110057;47194048;147;0;14;7;250;4_5;181;;131;12969;12,969;0,21615;;;;;;
47260666;47260747;47263972;47415055;47499119;147;0;14;7;250;4_5;182;;131;12969;12,969;0,21615;;;;;;
47565831;47565921;47569151;47720058;47804034;147;0;14;7;250;4_5;183;;131;12969;12,969;0,21615;;;;;;
47870674;47870755;47873981;48027055;48111119;149;0;14;7;250;4_5;184;;134;13266;13,266;0,2211;;;;;;
48177831;48177921;48181149;48334058;48418001;149;0;14;7;250;4_5;185;;134;13266;13,266;0,2211;;;;;;
48488209;48488287;48491571;48645058;48729107;149;0;14;7;250;4_5;186;;134;13266;13,266;0,2211;;;;;;
48795817;48795907;48799131;48952052;49036000;149;0;14;7;250;4_5;187;;134;13266;13,266;0,2211;;;;;;
49102770;49102853;49106099;49261055;49345087;152;0;14;7;250;4_5;188;;136;13464;13,464;0,2244;;;;;;
49411825;49411913;49415151;49570057;49654008;152;0;14;7;250;4_5;189;;136;13464;13,464;0,2244;;;;;;
49720649;49720729;49723962;49879056;49963074;152;0;14;7;250;4_5;190;;136;13464;13,464;0,2244;;;;;;
50029745;50029829;50033063;50192057;50276025;154;0;14;7;250;4_5;191;;139;13761;13,761;0,22935;;;;;;
50342712;50342801;50346036;50505054;50589084;154;0;14;7;250;4_5;192;;139;13761;13,761;0,22935;;;;;;
50659252;50659330;50662631;50820058;50904017;154;0;14;7;250;4_5;193;;139;13761;13,761;0,22935;;;;;;
50970669;50970749;50973996;51133053;51217088;154;0;14;7;250;4_5;194;;139;13761;13,761;0,22935;;;;;;
51283805;51283894;51287128;51448056;51532011;157;0;14;7;250;4_5;195;;141;13959;13,959;0,23265;;;;;;
51598673;51598754;51601989;51763054;51847086;157;0;14;7;250;4_5;196;;141;13959;13,959;0,23265;;;;;;
51913761;51913844;51917085;52078056;52162024;157;0;14;7;250;4_5;197;;141;13959;13,959;0,23265;;;;;;
52228652;52228733;52231969;52395054;52479099;159;0;14;7;250;4_5;198;;144;14256;14,256;0,2376;;;;;;
52545814;52545904;52549154;52712056;52796031;159;0;14;7;250;4_5;199;;144;14256;14,256;0,2376;;;;;;
